FALL12MN,0,1,2,Total,P_D,P_D_ZERO,P_D_ONE,P_D_TWO
1.0,14926.0,657.0,327.0,15910,0.259171,0.251749,0.52602,0.384705
2.0,451.0,94.0,19.0,564,0.009187,0.007606,0.07526,0.022352
3.0,109.0,27.0,4.0,140,0.00228,0.001838,0.021617,0.004705
4.0,32.0,15.0,0.0,47,0.000765,0.000539,0.012009,0.0
5.0,13.0,6.0,0.0,19,0.000309,0.000219,0.004803,0.0
6.0,37.0,11.0,1.0,49,0.000798,0.000624,0.008807,0.001176
7.0,6.0,0.0,0.0,6,9.7e-05,0.000101,0.0,0.0
8.0,38.0,18.0,1.0,57,0.000928,0.00064,0.014411,0.001176
77.0,518.0,42.0,35.0,595,0.009692,0.008736,0.033626,0.041176
88.0,43115.0,377.0,452.0,43944,0.71584,0.7272,0.301841,0.531764
99.0,44.0,2.0,11.0,57,0.000928,0.000742,0.001601,0.012941
Total,59289.0,1249.0,850.0,61388,1.0,1.0,1.0,1.0
P_H,0.965807,0.020345,0.013846,,,1.6e-05,1.6e-05,1.6e-05
