_RACE,0,1,2,Total,P_D,P_D_ZERO,P_D_ONE,P_D_TWO
1.0,45797.0,879.0,648.0,47324,0.770673,0.772358,0.700398,0.757009
2.0,2635.0,90.0,36.0,2761,0.044963,0.044438,0.071713,0.042056
3.0,965.0,45.0,22.0,1032,0.016806,0.016274,0.035856,0.0257
4.0,1853.0,11.0,24.0,1888,0.030746,0.03125,0.008764,0.028037
5.0,341.0,10.0,4.0,355,0.005781,0.00575,0.007968,0.004672
6.0,463.0,15.0,11.0,489,0.007963,0.007808,0.011952,0.01285
7.0,1433.0,57.0,30.0,1520,0.024753,0.024167,0.045418,0.035046
8.0,4787.0,121.0,40.0,4948,0.080578,0.080731,0.096414,0.046728
9.0,1021.0,27.0,41.0,1089,0.017734,0.017218,0.021513,0.047897
Total,59295.0,1255.0,856.0,61406,1.0,1.0,1.0,1.0
P_H,0.965622,0.020437,0.01394,,,1.6e-05,1.6e-05,1.6e-05
