_STATE,0,1,2,Total,P_D,P_D_ZERO,P_D_ONE,P_D_TWO
2.0,2002.0,36.0,27.0,2065,0.033613,0.033758,0.028481,0.031213
4.0,5116.0,137.0,70.0,5323,0.086647,0.086267,0.108386,0.080924
5.0,3141.0,108.0,52.0,3301,0.053733,0.052964,0.085443,0.060115
10.0,1968.0,43.0,15.0,2026,0.032979,0.033184,0.034018,0.017341
11.0,1622.0,36.0,28.0,1686,0.027444,0.02735,0.028481,0.032369
15.0,4357.0,78.0,40.0,4475,0.072843,0.073468,0.061708,0.046242
16.0,2882.0,78.0,68.0,3028,0.049289,0.048597,0.061708,0.078612
17.0,1844.0,38.0,24.0,1906,0.031025,0.031094,0.030063,0.027745
21.0,2054.0,73.0,23.0,2150,0.034997,0.034635,0.057753,0.026589
23.0,6878.0,96.0,147.0,7121,0.115914,0.115978,0.075949,0.169942
32.0,1074.0,17.0,24.0,1115,0.018149,0.01811,0.013449,0.027745
33.0,4018.0,72.0,44.0,4134,0.067292,0.067752,0.056962,0.050867
37.0,2936.0,61.0,34.0,3031,0.049338,0.049507,0.048259,0.039306
41.0,2645.0,61.0,73.0,2779,0.045236,0.0446,0.048259,0.084393
50.0,4005.0,76.0,48.0,4129,0.067211,0.067533,0.060126,0.055491
53.0,6963.0,151.0,97.0,7211,0.117379,0.117411,0.119462,0.112138
56.0,3085.0,50.0,40.0,3175,0.051682,0.05202,0.039556,0.046242
72.0,2714.0,53.0,11.0,2778,0.045219,0.045764,0.04193,0.012716
Total,59304.0,1264.0,865.0,61433,1.0,1.0,1.0,1.0
P_H,0.965344,0.020575,0.01408,,,1.6e-05,1.6e-05,1.6e-05
